SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,14904 Bradwill Ct,Rockville,MD,20850,539000,4,3.5,STONEBRIDGE,1820,1500,1985,1,296,,Active,,,http://www.redfin.com/MD/Rockville/14904-Bradwill-Ct-20850/home/10616804,BRIGHT MLS,MDMC2020884,N,Y,39.1015159,-77.21987
MLS Listing,,Townhouse,6 Farragut Pl NW,Washington,DC,20011,645000,4,2.5,PETWORTH,1584,1512,1939,1,407,,Active,November-7-2021 12:00 PM,November-7-2021 02:00 PM,http://www.redfin.com/DC/Washington/6-Farragut-Pl-NW-20011/home/10069998,BRIGHT MLS,DCDC2019168,N,Y,38.9509535,-77.0093164
MLS Listing,,Townhouse,414 Delafield Pl NW,Washington,DC,20011,835000,4,3.5,PETWORTH,1653,1312,1925,1,505,,Active,November-5-2021 08:00 AM,November-5-2021 08:00 PM,http://www.redfin.com/DC/Washington/414-Delafield-Pl-NW-20011/home/10060540,BRIGHT MLS,DCDC2019414,N,Y,38.9490663,-77.0180562
MLS Listing,,Townhouse,7717 Marshall Heights Ct,Falls Church,VA,22043,760000,3,3.0,MARSHALL HEIGHTS,1600,1710,1984,1,475,75,Active,,,http://www.redfin.com/VA/Falls-Church/7717-Marshall-Heights-Ct-22043/home/9460173,BRIGHT MLS,VAFX2029244,N,Y,38.9048609,-77.210224
MLS Listing,,Condo/Co-op,1300 S Arlington Ridge Rd #717,Arlington,VA,22202,220000,0,1.0,THE CAVENDISH,518,,1958,1,425,478,Active,,,http://www.redfin.com/VA/Arlington/1300-S-Arlington-Ridge-Rd-22202/unit-717/home/11275478,BRIGHT MLS,VAAR2006952,N,Y,38.8617887,-77.0670146
MLS Listing,,Townhouse,1310 Spring Rd NW Unit A,Washington,DC,20010,719000,2,2.5,COLUMBIA HEIGHTS,1460,,1911,1,492,269,Active,November-7-2021 01:30 PM,November-7-2021 03:30 PM,http://www.redfin.com/DC/Washington/1310-Spring-Rd-NW-20010/unit-A/home/171549606,BRIGHT MLS,DCDC2017464,N,Y,38.9361309,-77.0301461
MLS Listing,,Condo/Co-op,2311 Pimmit Dr #519,Falls Church,VA,22043,254900,2,2.0,IDYLWOOD TOWERS,1182,,1974,1,216,768,Active,,,http://www.redfin.com/VA/Falls-Church/2311-Pimmit-Dr-22043/unit-519/home/9479450,BRIGHT MLS,VAFX2028262,N,Y,38.898166,-77.2051706
MLS Listing,,Single Family Residential,7639 Chancellor Way,Springfield,VA,22153,799000,5,3.5,SARATOGA,3522,8400,1978,1,227,6,Active,,,http://www.redfin.com/VA/Springfield/7639-Chancellor-Way-22153/home/9802911,BRIGHT MLS,VAFX2028378,N,Y,38.7481602,-77.2170507
MLS Listing,,Townhouse,15603 Steamboat Way,Silver Spring,MD,20906,595000,3,3.0,BRADFORD'S LANDING,1930,1633,2019,1,308,87,Active,,,http://www.redfin.com/MD/Silver-Spring/15603-Steamboat-Way-20906/home/148706447,BRIGHT MLS,MDMC2020396,N,Y,39.113424,-77.068789
MLS Listing,,Condo/Co-op,10203-A Willow Mist Ct,Oakton,VA,22124,349000,2,2.0,TREVOR HOUSE CONDO,1189,,1985,1,294,370,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/VA/Oakton/10203A-Willow-Mist-Ct-22124/unit-73/home/177062763,BRIGHT MLS,VAFX2029004,N,Y,38.874678,-77.2970409
